step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.662781055096913,0,0.0,0.9049174609316081,0,0.0
10.0,0,0.0,0.0,11.574189964421016,0,0.0,0.8345263239549268,0,0.0
15.0,6,9.0,0.5,7.0647621139162915,6,9.0,0.39731116162009267,6,9.0
20.0,8,45.0,2.5,7.043558207761745,8,45.0,0.40737632322147527,8,45.0
25.0,8,85.0,4.0476190476190474,7.109494100020826,8,85.0,0.43420199151841876,8,85.0
30.0,6,91.0,4.55,7.189639455083189,6,95.0,0.4162227219928693,6,95.0
35.0,7,122.0,5.083333333333333,7.453683220490365,7,122.0,0.31626380656010317,7,122.0
40.0,10,168.0,6.461538461538462,7.653999264480845,10,168.0,0.4445258920914955,10,168.0
45.0,6,181.0,6.703703703703703,6.435234800351183,6,194.0,0.4207355307678299,6,194.0
50.0,8,214.0,8.23076923076923,6.495654680577904,8,214.0,0.35245543186186756,8,214.0
55.0,12,269.0,8.966666666666667,7.791928934462745,12,269.0,0.36493421921934427,12,269.0
60.0,12,329.0,12.653846153846153,6.477085149443533,12,329.0,0.25422465131695493,12,329.0
65.0,11,361.0,12.892857142857142,5.5620054492757385,11,365.0,0.31483710563298795,11,365.0
70.0,14,427.0,17.791666666666668,5.4817788153151765,14,427.0,0.28395288752160386,14,427.0
75.0,14,497.0,13.805555555555555,6.428113784873506,14,497.0,0.35855420704517244,14,497.0
80.0,12,517.0,15.666666666666666,6.350624161925629,12,547.0,0.41114679631831225,12,547.0
85.0,13,564.0,15.666666666666666,5.287468647627318,13,572.0,0.28851372548908405,13,572.0
90.0,18,648.0,18.0,6.493753913750762,18,648.0,0.23097114132760424,18,648.0
95.0,18,738.0,21.085714285714285,5.718607175435235,18,738.0,0.25206686955882734,18,738.0
100.0,18,801.0,25.03125,4.50159128086184,18,802.0,0.2327398161424454,18,802.0
